study_version,run_id,protocol_digest,execution_scope,schema_version,variant_id,stratum,stratum_value,metric,k,n,rate,no_alert,abstain,failed,coverage,status,interval_method,source_ref
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-b,clean_pre_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-b;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-b,clean_post_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-b;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g1,positive_TPR,1,2,0.5,0,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g1;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g1,primary_control_mid_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g1;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g1,clean_pre_FPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g1;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g1,clean_post_FPR,0,2,0.0,1,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g1;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g2,positive_TPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g2;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g2,primary_control_mid_FPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g2;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g2,clean_pre_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g2;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,environment_group_id,g2,clean_post_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=environment_group_id:g2;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_negative,positive_TPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_negative;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_negative,primary_control_mid_FPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_negative;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_negative,clean_pre_FPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_negative;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_negative,clean_post_FPR,0,2,0.0,1,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_negative;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_positive,positive_TPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_positive;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_positive,primary_control_mid_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_positive;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_positive,clean_pre_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_positive;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_positive,clean_post_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_positive;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_unknown,positive_TPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_unknown;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_unknown,primary_control_mid_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_unknown;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_unknown,clean_pre_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_unknown;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,cohort,synthetic_unknown,clean_post_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=cohort:synthetic_unknown;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L0_ANNOTATION_ONLY_OR_INCOMPLETE,positive_TPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L0_ANNOTATION_ONLY_OR_INCOMPLETE;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L0_ANNOTATION_ONLY_OR_INCOMPLETE,primary_control_mid_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L0_ANNOTATION_ONLY_OR_INCOMPLETE;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L0_ANNOTATION_ONLY_OR_INCOMPLETE,clean_pre_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L0_ANNOTATION_ONLY_OR_INCOMPLETE;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L0_ANNOTATION_ONLY_OR_INCOMPLETE,clean_post_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L0_ANNOTATION_ONLY_OR_INCOMPLETE;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L1_RECEIPT_SUPPORTED,positive_TPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L1_RECEIPT_SUPPORTED;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L1_RECEIPT_SUPPORTED,primary_control_mid_FPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L1_RECEIPT_SUPPORTED;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L1_RECEIPT_SUPPORTED,clean_pre_FPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L1_RECEIPT_SUPPORTED;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,evidence_grade,L1_RECEIPT_SUPPORTED,clean_post_FPR,0,2,0.0,1,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=evidence_grade:L1_RECEIPT_SUPPORTED;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,api_level,34,positive_TPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=api_level:34;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,api_level,34,primary_control_mid_FPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=api_level:34;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,api_level,34,clean_pre_FPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=api_level:34;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,api_level,34,clean_post_FPR,0,2,0.0,1,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=api_level:34;metric=clean_post_FPR
